X [s],Mini sensor 8: EMG 8->Filter->MDF [Hz]
0.06237931,77.00531071
0.124758621,64.0044141
0.187137931,63.00434513
0.249517241,62.00427616
0.311896552,63.00434513
0.374275862,63.00434513
0.436655172,64.0044141
0.499034483,63.00434513
0.561413793,64.0044141
0.623793103,63.00434513
0.686172414,63.00434513
0.748551724,63.00434513
0.810931034,64.0044141
0.873310345,64.0044141
0.935689655,64.0044141
0.998068966,63.00434513
1.060448276,64.0044141
1.122827586,64.0044141
1.185206897,64.0044141
1.247586207,64.0044141
1.309965517,64.0044141
1.372344828,64.0044141
1.434724138,64.0044141
1.497103448,64.0044141
1.559482759,65.00448307
1.621862069,65.00448307
1.684241379,65.00448307
1.74662069,66.00455204
1.809,64.0044141
1.87137931,65.00448307
1.933758621,65.00448307
1.996137931,66.00455204
2.058517241,66.00455204
2.120896552,65.00448307
2.183275862,65.00448307
2.245655172,66.00455204
2.308034483,63.00434513
2.370413793,64.0044141
2.432793103,64.0044141
2.495172414,123.0084833
2.557551724,126.0086903
2.619931034,132.0091041
2.682310345,181.0124836
2.744689655,184.0126905
2.807068966,182.0125526
2.869448276,124.0085523
2.931827586,163.0112422
2.994206897,155.0106904
3.056586207,66.00455204
3.118965517,66.00455204
3.181344828,119.0082075
3.243724138,143.0098627
3.306103448,133.009173
3.368482759,116.0080006
3.430862069,64.0044141
3.493241379,67.00462101
3.55562069,68.00468998
3.618,70.00482792
3.68037931,78.00537968
3.742758621,100.006897
3.805137931,72.00496586
3.867517241,65.00448307
3.929896552,66.00455204
3.992275862,66.00455204
4.054655172,66.00455204
4.117034483,66.00455204
4.179413793,72.00496586
4.241793103,65.00448307
4.304172414,65.00448307
4.366551724,68.00468998
4.428931034,80.00551762
4.491310345,65.00448307
4.553689655,65.00448307
4.616068966,64.0044141
4.678448276,65.00448307
4.740827586,65.00448307
4.803206897,66.00455204
4.865586207,66.00455204
4.927965517,123.0084833
4.990344828,142.0097938
5.052724138,154.0106214
5.115103448,132.0091041
5.177482759,182.0125526
5.239862069,179.0123457
5.302241379,165.0113801
5.36462069,176.0121388
5.427,192.0132423
5.48937931,194.0133802
5.551758621,203.014001
5.614137931,201.013863
5.676517241,173.0119319
5.738896552,157.0108283
5.801275862,118.0081385
5.863655172,118.0081385
5.926034483,123.0084833
5.988413793,129.0088972
6.050793103,119.0082075
6.113172414,118.0081385
6.175551724,116.0080006
6.237931034,65.00448307
6.300310345,87.00600041
6.362689655,111.0076557
6.425068966,67.00462101
6.487448276,65.00448307
6.549827586,65.00448307
6.612206897,71.00489689
6.674586207,64.0044141
6.736965517,66.00455204
6.799344828,67.00462101
6.861724138,89.00613835
6.924103448,66.00455204
6.986482759,67.00462101
7.048862069,65.00448307
7.111241379,67.00462101
7.17362069,65.00448307
7.236,67.00462101
7.29837931,86.00593144
7.360758621,87.00600041
7.423137931,64.0044141
7.485517241,65.00448307
7.547896552,81.00558659
7.610275862,94.00648321
7.672655172,65.00448307
7.735034483,66.00455204
7.797413793,66.00455204
7.859793103,66.00455204
7.922172414,66.00455204
7.984551724,72.00496586
8.046931034,119.0082075
8.109310345,158.0108973
8.171689655,138.0095179
8.234068966,119.0082075
8.296448276,140.0096558
8.358827586,168.011587
8.421206897,163.0112422
8.483586207,170.0117249
8.545965517,150.0103455
8.608344828,155.0106904
8.670724138,164.0113111
8.733103448,154.0106214
8.795482759,118.0081385
8.857862069,139.0095869
8.920241379,137.0094489
8.98262069,125.0086213
9.045,124.0085523
9.10737931,64.0044141
9.169758621,67.00462101
9.232137931,99.00682806
9.294517241,118.0081385
9.356896552,99.00682806
9.419275862,100.006897
9.481655172,83.00572453
9.544034483,89.00613835
9.606413793,75.00517277
9.668793103,75.00517277
9.731172414,65.00448307
9.793551724,81.00558659
9.855931034,74.0051038
